ReturnID,OrderID,ReturnDate,Reason
1,26361,16-12-2024,Wrong Item
2,196598,09-08-2025,No Reason
3,101953,04-05-2025,Late Delivery
4,184627,05-08-2025,No Reason
5,25514,23-01-2025,Late Delivery
6,103682,04-06-2025,Damaged
7,165796,18-07-2025,Late Delivery
8,156408,02-10-2024,Wrong Item
9,185602,23-10-2024,Damaged
10,198726,31-03-2025,Damaged
11,50835,18-12-2024,Late Delivery
12,147294,15-06-2025,Wrong Item
13,37270,02-12-2024,Wrong Item
14,127143,04-10-2024,Damaged
15,45985,28-02-2025,Wrong Item
16,115052,31-08-2024,Wrong Item
17,41676,,Wrong Item
18,95989,28-03-2025,Wrong Item
19,157918,04-07-2025,Wrong Item
20,148095,17-02-2025,Wrong Item
21,26785,27-11-2024,Damaged
22,126735,09-08-2025,Damaged
23,31566,04-02-2025,
24,197009,29-07-2025,Wrong Item
25,15786,12-08-2025,Wrong Item
26,159157,09-03-2025,
27,167086,16-12-2024,Late Delivery
28,9669,22-08-2025,Late Delivery
29,96178,26-03-2025,No Reason
30,111322,08-04-2025,Late Delivery
31,100185,05-05-2025,No Reason
32,121558,10-09-2024,Wrong Item
33,50467,02-04-2025,No Reason
34,139814,09-11-2024,Late Delivery
35,4416,16-02-2025,Damaged
36,188561,30-11-2024,No Reason
37,92023,30-06-2025,No Reason
38,111836,10-05-2025,Wrong Item
39,134611,26-11-2024,Late Delivery
40,173935,10-12-2024,No Reason
41,127188,10-10-2024,Wrong Item
42,72988,19-09-2024,Wrong Item
43,177148,30-07-2025,Wrong Item
44,187250,01-12-2024,No Reason
45,36777,08-09-2024,Damaged
46,197299,05-06-2025,No Reason
47,23393,25-01-2025,Late Delivery
48,53509,02-10-2024,Damaged
49,89467,03-06-2025,Damaged
50,33657,29-09-2024,Wrong Item
51,3728,06-10-2024,No Reason
52,143325,14-05-2025,Wrong Item
53,19855,28-08-2024,Wrong Item
54,101239,24-09-2024,No Reason
55,187722,27-09-2024,Damaged
56,63729,02-06-2025,Late Delivery
57,138491,24-07-2025,Wrong Item
58,84298,15-10-2024,Late Delivery
59,70114,10-06-2025,Damaged
60,34201,30-12-2024,No Reason
61,22978,03-11-2024,Late Delivery
62,140795,03-03-2025,Late Delivery
63,108391,03-06-2025,No Reason
64,193533,19-04-2025,Damaged
65,26183,23-03-2025,Wrong Item
66,178558,22-04-2025,Damaged
67,170924,31-03-2025,Wrong Item
68,54319,11-01-2025,
69,160551,22-06-2025,No Reason
70,199721,10-01-2025,No Reason
71,163011,08-04-2025,
72,94100,04-01-2025,Damaged
73,124845,21-04-2025,No Reason
74,1698,21-04-2025,Late Delivery
75,137578,19-12-2024,Damaged
76,50148,01-12-2024,Wrong Item
77,43688,27-12-2024,Damaged
78,127580,04-04-2025,No Reason
79,192798,24-04-2025,Late Delivery
80,66187,06-09-2024,Wrong Item
81,168317,27-11-2024,Late Delivery
82,149492,12-08-2025,Damaged
83,130371,22-04-2025,Late Delivery
84,49090,06-10-2024,Wrong Item
85,101778,08-11-2024,Damaged
86,88990,,Damaged
87,93556,20-09-2024,Damaged
88,107567,25-02-2025,Damaged
89,184039,,Damaged
90,122565,09-04-2025,Damaged
91,117514,,Late Delivery
92,180706,21-06-2025,Late Delivery
93,13111,24-01-2025,Wrong Item
94,45141,06-10-2024,
95,44967,14-06-2025,No Reason
96,58158,,No Reason
97,119345,23-04-2025,Late Delivery
98,51447,08-04-2025,No Reason
99,25862,08-03-2025,No Reason
100,163407,10-07-2025,
101,123961,08-07-2025,
102,98855,11-04-2025,
103,18173,07-11-2024,Wrong Item
104,184011,24-08-2025,
105,128466,08-12-2024,
106,178651,23-04-2025,Wrong Item
107,173714,19-10-2024,Wrong Item
108,96214,,Late Delivery
109,153611,28-10-2024,
110,54643,26-07-2025,No Reason
111,72670,18-01-2025,
112,126944,27-08-2025,Damaged
113,140637,,Late Delivery
114,131682,04-07-2025,Wrong Item
115,142456,16-12-2024,Late Delivery
116,136360,31-12-2024,Wrong Item
117,6043,27-11-2024,Late Delivery
118,156401,05-12-2024,Late Delivery
119,13236,09-11-2024,
120,49551,13-01-2025,No Reason
121,153813,28-12-2024,Wrong Item
122,181989,28-06-2025,Wrong Item
123,161038,,Late Delivery
124,96777,26-12-2024,Damaged
125,40966,10-09-2024,Damaged
126,82863,15-03-2025,Wrong Item
127,152003,13-12-2024,Late Delivery
128,64302,04-06-2025,Late Delivery
129,17912,25-01-2025,No Reason
130,147302,14-03-2025,Wrong Item
131,29643,11-10-2024,Late Delivery
132,49717,29-09-2024,Damaged
133,150343,15-11-2024,Late Delivery
134,116560,17-09-2024,Damaged
135,166200,29-10-2024,Damaged
136,20440,27-06-2025,No Reason
137,160286,23-06-2025,Late Delivery
138,29348,14-09-2024,No Reason
139,44589,15-11-2024,Wrong Item
140,36646,05-05-2025,Late Delivery
141,124103,01-10-2024,Damaged
142,168019,01-06-2025,Wrong Item
143,95168,09-07-2025,Damaged
144,101018,11-06-2025,Late Delivery
145,50192,24-09-2024,
146,120606,30-04-2025,No Reason
147,118817,16-05-2025,Late Delivery
148,158533,10-05-2025,Wrong Item
149,159419,27-06-2025,
150,97299,14-10-2024,No Reason
151,100443,28-09-2024,Damaged
152,185711,22-06-2025,Wrong Item
153,179412,16-09-2024,Wrong Item
154,176920,19-05-2025,Damaged
155,26384,20-12-2024,Wrong Item
156,57807,30-01-2025,
157,96132,10-07-2025,Late Delivery
158,17253,27-01-2025,Wrong Item
159,127700,15-02-2025,Damaged
160,61733,22-10-2024,
161,105947,01-06-2025,No Reason
162,107145,08-11-2024,Damaged
163,60687,09-06-2025,Damaged
164,74146,01-06-2025,Late Delivery
165,13178,03-12-2024,Damaged
166,31284,11-03-2025,No Reason
167,67317,18-02-2025,Wrong Item
168,153464,20-06-2025,Late Delivery
169,82697,21-11-2024,Late Delivery
170,125825,22-11-2024,Damaged
171,153809,06-01-2025,Damaged
172,118302,18-06-2025,Wrong Item
173,146850,13-10-2024,Late Delivery
174,77651,02-10-2024,No Reason
175,128325,04-08-2025,Late Delivery
176,74905,13-04-2025,Late Delivery
177,149824,12-07-2025,Late Delivery
178,36578,15-10-2024,Late Delivery
179,9815,11-12-2024,Wrong Item
180,119593,17-06-2025,Damaged
181,76100,14-12-2024,Damaged
182,150657,17-05-2025,No Reason
183,13969,15-08-2025,Wrong Item
184,123402,02-02-2025,Damaged
185,38793,12-07-2025,Damaged
186,41431,18-02-2025,Wrong Item
187,119696,18-05-2025,Damaged
188,48365,14-01-2025,No Reason
189,56880,11-01-2025,Late Delivery
190,92286,16-09-2024,No Reason
191,173569,17-09-2024,Damaged
192,181607,01-05-2025,Damaged
193,57114,27-07-2025,Late Delivery
194,17800,08-03-2025,Damaged
195,113211,12-09-2024,Wrong Item
196,8069,24-10-2024,No Reason
197,57926,01-03-2025,No Reason
198,159273,29-09-2024,Late Delivery
199,90274,10-03-2025,
200,190572,20-04-2025,Wrong Item
201,52575,12-03-2025,Late Delivery
202,96418,19-08-2025,Damaged
203,196207,03-08-2025,No Reason
204,122621,19-01-2025,
205,169708,04-02-2025,Damaged
206,127068,04-07-2025,Late Delivery
207,64588,08-03-2025,Damaged
208,114075,13-06-2025,
209,58852,08-02-2025,No Reason
210,173267,10-07-2025,No Reason
211,141268,05-07-2025,Damaged
212,104282,04-10-2024,No Reason
213,38995,29-01-2025,Damaged
214,178087,20-05-2025,Damaged
215,91762,26-01-2025,
216,68981,07-12-2024,Late Delivery
217,165398,11-08-2025,Damaged
218,41045,16-12-2024,Wrong Item
219,134061,02-11-2024,Wrong Item
220,182155,17-03-2025,No Reason
221,6555,19-08-2025,Damaged
222,48879,16-11-2024,No Reason
223,80902,05-09-2024,Damaged
224,98302,27-05-2025,Late Delivery
225,157281,09-08-2025,Wrong Item
226,46024,23-11-2024,
227,128628,24-06-2025,
228,55246,05-08-2025,Damaged
229,50257,14-01-2025,Late Delivery
230,43613,14-06-2025,Wrong Item
231,14473,18-09-2024,No Reason
232,176021,22-10-2024,Late Delivery
233,153916,28-06-2025,
234,49760,26-09-2024,No Reason
235,151405,02-10-2024,No Reason
236,10754,11-11-2024,Late Delivery
237,23076,02-10-2024,No Reason
238,159529,28-10-2024,No Reason
239,148127,05-02-2025,Late Delivery
240,188362,30-06-2025,Late Delivery
241,143347,03-03-2025,No Reason
242,155521,28-04-2025,Late Delivery
243,32454,10-04-2025,No Reason
244,4525,07-05-2025,Damaged
245,199430,01-12-2024,Damaged
246,41235,26-05-2025,No Reason
247,106519,06-09-2024,Wrong Item
248,163333,06-12-2024,Late Delivery
249,55396,,Wrong Item
250,109817,02-10-2024,Late Delivery
251,70362,14-07-2025,Late Delivery
252,82469,17-03-2025,Damaged
253,116753,18-06-2025,Late Delivery
254,14970,08-06-2025,Damaged
255,184186,06-05-2025,Damaged
256,109863,10-05-2025,
257,148514,14-07-2025,Damaged
258,91734,17-07-2025,
259,187606,30-01-2025,
260,196657,20-08-2025,No Reason
261,144192,30-11-2024,Damaged
262,173145,28-03-2025,No Reason
263,62842,22-04-2025,Wrong Item
264,165103,01-08-2025,Damaged
265,132631,21-05-2025,No Reason
266,68271,,
267,54896,15-05-2025,No Reason
268,137727,01-01-2025,
269,143010,20-01-2025,Late Delivery
270,108004,07-07-2025,Late Delivery
271,11782,13-06-2025,Late Delivery
272,23172,04-03-2025,
273,64227,11-01-2025,Late Delivery
274,18158,08-08-2025,
275,140530,14-04-2025,Damaged
276,46203,01-09-2024,No Reason
277,26478,16-09-2024,Late Delivery
278,13838,12-11-2024,Late Delivery
279,193756,29-08-2024,Late Delivery
280,199540,14-09-2024,Wrong Item
281,78783,12-10-2024,Wrong Item
282,27940,25-03-2025,Wrong Item
283,20146,25-01-2025,Wrong Item
284,189922,22-01-2025,Wrong Item
285,123664,01-01-2025,Late Delivery
286,199377,05-03-2025,Late Delivery
287,175321,16-10-2024,
288,83550,14-04-2025,Late Delivery
289,115233,23-10-2024,
290,72836,10-11-2024,Damaged
291,146099,16-12-2024,No Reason
292,43147,20-11-2024,No Reason
293,152729,16-01-2025,Damaged
294,129857,11-07-2025,Damaged
295,55974,27-10-2024,No Reason
296,100484,06-07-2025,No Reason
297,96329,06-11-2024,Wrong Item
298,164850,31-01-2025,Late Delivery
299,195452,06-04-2025,Late Delivery
300,127939,05-09-2024,Damaged
301,96844,09-01-2025,Wrong Item
302,132049,01-05-2025,Wrong Item
303,184426,31-07-2025,Late Delivery
304,103383,12-06-2025,Wrong Item
305,95972,16-10-2024,Late Delivery
306,28956,12-02-2025,No Reason
307,66202,19-09-2024,Wrong Item
308,77873,,No Reason
309,66995,20-03-2025,Wrong Item
310,173025,08-04-2025,Damaged
311,176041,09-11-2024,No Reason
312,88586,,Damaged
313,162244,03-01-2025,Damaged
314,71823,05-07-2025,Wrong Item
315,57403,05-06-2025,No Reason
316,153447,04-12-2024,Damaged
317,897,05-05-2025,Wrong Item
318,114851,23-09-2024,Damaged
319,168712,19-06-2025,No Reason
320,92573,18-10-2024,Late Delivery
321,142461,21-03-2025,No Reason
322,97514,12-07-2025,Damaged
323,142500,18-02-2025,Late Delivery
324,124479,14-09-2024,No Reason
325,99891,20-04-2025,Wrong Item
326,29110,24-10-2024,No Reason
327,78121,01-10-2024,Wrong Item
328,54611,02-10-2024,Damaged
329,162140,31-12-2024,Wrong Item
330,104200,16-06-2025,Wrong Item
331,40474,17-05-2025,Damaged
332,82595,22-10-2024,
333,178362,23-01-2025,Damaged
334,78496,12-06-2025,Damaged
335,144309,11-04-2025,No Reason
336,162059,25-07-2025,Wrong Item
337,30905,25-10-2024,No Reason
338,185771,24-01-2025,Late Delivery
339,43401,01-02-2025,Late Delivery
340,7775,25-03-2025,Damaged
341,43874,18-04-2025,Damaged
342,56138,15-12-2024,Wrong Item
343,85272,12-01-2025,Late Delivery
344,154120,24-08-2025,Late Delivery
345,191486,25-11-2024,Late Delivery
346,181928,02-03-2025,Wrong Item
347,115953,04-02-2025,Damaged
348,62498,19-11-2024,Wrong Item
349,142560,05-06-2025,No Reason
350,177727,29-12-2024,No Reason
351,194343,22-01-2025,Wrong Item
352,4116,28-04-2025,No Reason
353,175015,10-05-2025,Late Delivery
354,111720,16-03-2025,Late Delivery
355,95842,17-06-2025,Late Delivery
356,17431,18-01-2025,No Reason
357,121246,26-03-2025,Wrong Item
358,151551,13-02-2025,Late Delivery
359,156701,,Damaged
360,134656,25-09-2024,Damaged
361,144909,28-12-2024,
362,109336,19-06-2025,No Reason
363,80223,25-07-2025,
364,54344,23-06-2025,No Reason
365,162075,10-06-2025,Late Delivery
366,36548,30-09-2024,Damaged
367,151883,29-12-2024,No Reason
368,91500,03-03-2025,Damaged
369,68671,04-07-2025,
370,4575,,No Reason
371,71504,17-11-2024,Wrong Item
372,173715,16-09-2024,
373,144010,,Late Delivery
374,190424,29-08-2024,No Reason
375,100023,24-03-2025,Wrong Item
376,92922,,Late Delivery
377,87902,06-01-2025,Wrong Item
378,125513,01-09-2024,No Reason
379,96981,,Wrong Item
380,100783,19-05-2025,Late Delivery
381,182910,15-06-2025,Late Delivery
382,148048,26-01-2025,Wrong Item
383,180468,20-11-2024,Late Delivery
384,120291,09-04-2025,No Reason
385,92355,07-01-2025,Damaged
386,182607,,No Reason
387,67462,14-07-2025,No Reason
388,22409,18-10-2024,No Reason
389,149147,29-09-2024,Late Delivery
390,197377,,Late Delivery
391,107132,20-10-2024,Wrong Item
392,118853,01-11-2024,No Reason
393,135309,,No Reason
394,162812,29-04-2025,Wrong Item
395,165031,27-10-2024,Late Delivery
396,77582,08-09-2024,Wrong Item
397,72967,19-02-2025,Late Delivery
398,103253,25-06-2025,No Reason
399,110319,21-01-2025,Wrong Item
400,37482,19-06-2025,No Reason
401,33012,21-05-2025,Late Delivery
402,66547,29-03-2025,Wrong Item
403,166088,26-03-2025,
404,75866,05-03-2025,No Reason
405,119874,26-04-2025,Damaged
406,111703,17-04-2025,No Reason
407,180791,12-05-2025,Wrong Item
408,96530,31-07-2025,
409,134836,23-02-2025,Damaged
410,117803,16-01-2025,Wrong Item
411,3402,21-11-2024,Wrong Item
412,161215,01-10-2024,Damaged
413,3720,30-12-2024,Wrong Item
414,164479,16-03-2025,No Reason
415,106311,23-08-2025,Late Delivery
416,92828,06-02-2025,Late Delivery
417,41181,02-06-2025,No Reason
418,15876,12-11-2024,Late Delivery
419,5809,26-03-2025,Late Delivery
420,14836,05-03-2025,Wrong Item
421,11125,17-08-2025,Damaged
422,79183,19-03-2025,No Reason
423,55687,11-09-2024,Late Delivery
424,148642,07-03-2025,Wrong Item
425,36556,30-04-2025,
426,98003,04-07-2025,Late Delivery
427,8458,09-03-2025,Wrong Item
428,44319,01-01-2025,Wrong Item
429,46427,12-12-2024,Wrong Item
430,130828,09-09-2024,Damaged
431,153967,17-10-2024,Damaged
432,148750,01-03-2025,No Reason
433,157787,18-07-2025,
434,96691,31-12-2024,Wrong Item
435,121840,03-03-2025,Late Delivery
436,70423,21-11-2024,Damaged
437,162861,,Wrong Item
438,95426,05-08-2025,Wrong Item
439,46271,19-02-2025,Wrong Item
440,101856,18-10-2024,Damaged
441,148929,,No Reason
442,23639,12-08-2025,Damaged
443,120973,10-06-2025,Damaged
444,13527,22-08-2025,Wrong Item
445,86542,09-10-2024,Late Delivery
446,87457,22-11-2024,Damaged
447,112398,26-10-2024,Late Delivery
448,99924,30-12-2024,Late Delivery
449,8141,04-10-2024,Late Delivery
450,67687,23-02-2025,Wrong Item
451,125663,11-01-2025,Damaged
452,186288,22-05-2025,No Reason
453,103675,30-10-2024,No Reason
454,38385,26-02-2025,No Reason
455,99372,06-11-2024,Wrong Item
456,54161,02-10-2024,Damaged
457,45906,08-09-2024,No Reason
458,197596,22-06-2025,Late Delivery
459,151500,27-08-2025,Wrong Item
460,183957,31-10-2024,Wrong Item
461,52165,02-01-2025,Late Delivery
462,49194,16-11-2024,Damaged
463,35980,21-09-2024,Wrong Item
464,178443,29-07-2025,Wrong Item
465,139547,09-01-2025,No Reason
466,36539,22-06-2025,No Reason
467,49103,10-12-2024,Wrong Item
468,19557,22-05-2025,Wrong Item
469,88762,04-05-2025,Wrong Item
470,47460,31-08-2024,Late Delivery
471,17653,09-07-2025,No Reason
472,163282,09-04-2025,Late Delivery
473,182754,22-02-2025,Damaged
474,11915,05-10-2024,Wrong Item
475,48351,26-09-2024,No Reason
476,55272,19-01-2025,Late Delivery
477,48717,21-08-2025,
478,121021,02-10-2024,
479,180124,25-12-2024,Wrong Item
